site_id,lat,lon,source,state,date,ls_type,trigger,landslide_occurred
negative_mizoram_00055,23.097669932478837,92.27428950297538,negative_sample,Mizoram,,none,none,0
negative_mizoram_00056,24.18402695411072,92.77143438130611,negative_sample,Mizoram,,none,none,0
negative_mizoram_00057,22.65968532486034,92.41696910716601,negative_sample,Mizoram,,none,none,0
negative_mizoram_00058,23.88519512939888,92.02813669677663,negative_sample,Mizoram,,none,none,0
negative_mizoram_00059,22.30898407644115,93.06612276102773,negative_sample,Mizoram,,none,none,0
negative_mizoram_00060,23.01833092380679,92.82295454580897,negative_sample,Mizoram,,none,none,0
negative_mizoram_00061,23.291134543074687,92.1737086242564,negative_sample,Mizoram,,none,none,0
negative_mizoram_00062,23.074005567229854,92.62699074800743,negative_sample,Mizoram,,none,none,0
negative_mizoram_00063,22.300112881143143,92.54200587796868,negative_sample,Mizoram,,none,none,0
negative_mizoram_00064,23.63050885894905,92.99973243977742,negative_sample,Mizoram,,none,none,0
negative_mizoram_00065,22.38099843269634,92.99887115498649,negative_sample,Mizoram,,none,none,0
negative_mizoram_00066,23.31498826066842,92.5640488989034,negative_sample,Mizoram,,none,none,0
negative_mizoram_00067,23.18848643936005,93.13951553220785,negative_sample,Mizoram,,none,none,0
negative_mizoram_00068,23.62332564724329,92.29380939085995,negative_sample,Mizoram,,none,none,0
negative_mizoram_00069,23.07554784674342,92.45989209032058,negative_sample,Mizoram,,none,none,0
negative_mizoram_00070,22.85563908845486,92.260343173793,negative_sample,Mizoram,,none,none,0
negative_mizoram_00071,23.736928629821627,92.28374034558483,negative_sample,Mizoram,,none,none,0
negative_mizoram_00072,23.233039653618196,93.24471964713177,negative_sample,Mizoram,,none,none,0
negative_mizoram_00073,23.36716958298181,92.19227028806199,negative_sample,Mizoram,,none,none,0
negative_mizoram_00074,23.65536485777785,93.12338539006569,negative_sample,Mizoram,,none,none,0
negative_mizoram_00075,23.360496799121723,93.04432702067903,negative_sample,Mizoram,,none,none,0
negative_mizoram_00076,22.758862810888857,92.7374019229787,negative_sample,Mizoram,,none,none,0
negative_mizoram_00077,22.54791529908927,92.91992996908245,negative_sample,Mizoram,,none,none,0
negative_mizoram_00078,24.167368908081702,92.84816306673481,negative_sample,Mizoram,,none,none,0
negative_mizoram_00079,23.561374161733124,91.84098351054278,negative_sample,Mizoram,,none,none,0
negative_mizoram_00080,23.83526044554771,91.77474378167172,negative_sample,Mizoram,,none,none,0
negative_mizoram_00081,23.510457730987234,93.03804860445824,negative_sample,Mizoram,,none,none,0
negative_mizoram_00082,22.28382102600843,92.66071864661974,negative_sample,Mizoram,,none,none,0
negative_mizoram_00083,22.47137660806826,92.70741730978717,negative_sample,Mizoram,,none,none,0
negative_mizoram_00084,23.45817906452327,92.61574639848675,negative_sample,Mizoram,,none,none,0
negative_mizoram_00085,23.335674167762285,92.43860614502415,negative_sample,Mizoram,,none,none,0
negative_mizoram_00086,24.016142002619684,92.9718917542406,negative_sample,Mizoram,,none,none,0
negative_mizoram_00087,23.524999866145627,92.48544488362278,negative_sample,Mizoram,,none,none,0
negative_mizoram_00088,22.715515954639034,92.9694015406847,negative_sample,Mizoram,,none,none,0
negative_mizoram_00089,22.823522351302486,92.25640457645055,negative_sample,Mizoram,,none,none,0
negative_mizoram_00090,23.84502684334635,92.29064181718574,negative_sample,Mizoram,,none,none,0
negative_mizoram_00091,24.352904367622617,92.59434334735747,negative_sample,Mizoram,,none,none,0
negative_mizoram_00092,23.22924912774637,93.00120724997831,negative_sample,Mizoram,,none,none,0
negative_mizoram_00093,24.38993886360945,92.88926340162764,negative_sample,Mizoram,,none,none,0
negative_mizoram_00094,23.737797058159405,92.65746475930491,negative_sample,Mizoram,,none,none,0
negative_mizoram_00095,22.776583202346462,93.08192909308052,negative_sample,Mizoram,,none,none,0
negative_mizoram_00096,23.138092752587017,92.42529438257286,negative_sample,Mizoram,,none,none,0
negative_mizoram_00097,22.322047491050434,93.00298381989958,negative_sample,Mizoram,,none,none,0
negative_mizoram_00098,23.64930753827464,92.79605242285182,negative_sample,Mizoram,,none,none,0
negative_mizoram_00099,24.021645254714162,92.68908759397522,negative_sample,Mizoram,,none,none,0
negative_mizoram_00100,23.949386661796776,93.26520959637398,negative_sample,Mizoram,,none,none,0
negative_mizoram_00101,24.111431337892245,92.85411035365905,negative_sample,Mizoram,,none,none,0
negative_mizoram_00102,23.59982913765794,92.93835713465838,negative_sample,Mizoram,,none,none,0
negative_mizoram_00103,22.431823961405083,93.12798657808588,negative_sample,Mizoram,,none,none,0
negative_mizoram_00104,22.524882067537504,92.91944298487658,negative_sample,Mizoram,,none,none,0
negative_mizoram_00105,23.796365555312008,92.08916650415875,negative_sample,Mizoram,,none,none,0
negative_mizoram_00106,23.554397270703593,93.35901814858586,negative_sample,Mizoram,,none,none,0
negative_mizoram_00107,23.178059180447885,93.35870024922765,negative_sample,Mizoram,,none,none,0
negative_mizoram_00108,23.61556452158513,93.00797217105526,negative_sample,Mizoram,,none,none,0
negative_mizoram_00109,23.771448823689106,92.63913457491824,negative_sample,Mizoram,,none,none,0
negative_mizoram_00110,24.363862247850978,92.76660540923669,negative_sample,Mizoram,,none,none,0
negative_mizoram_00111,23.216455074527243,92.32771923667471,negative_sample,Mizoram,,none,none,0
negative_mizoram_00112,23.553029365710106,92.37044252023253,negative_sample,Mizoram,,none,none,0
negative_mizoram_00113,23.063054805600505,92.7404653498493,negative_sample,Mizoram,,none,none,0
negative_mizoram_00114,22.585366175674526,92.33621906322861,negative_sample,Mizoram,,none,none,0
negative_mizoram_00115,22.829920641840406,92.65755112015225,negative_sample,Mizoram,,none,none,0
negative_mizoram_00116,22.60495845578236,92.4531895577974,negative_sample,Mizoram,,none,none,0
negative_mizoram_00117,23.441798875062528,92.62918390365394,negative_sample,Mizoram,,none,none,0
negative_mizoram_00118,23.64395326621498,92.86105774401308,negative_sample,Mizoram,,none,none,0
negative_mizoram_00119,23.400895183655212,93.0139706827771,negative_sample,Mizoram,,none,none,0
negative_mizoram_00120,23.589990703115003,92.37673405591639,negative_sample,Mizoram,,none,none,0
negative_mizoram_00121,23.311338541732628,92.2500777760792,negative_sample,Mizoram,,none,none,0
negative_mizoram_00122,24.23055110134032,92.9231742459281,negative_sample,Mizoram,,none,none,0
negative_mizoram_00123,23.288936995950426,93.25314869858262,negative_sample,Mizoram,,none,none,0
negative_mizoram_00124,24.01768121047904,92.53578083337644,negative_sample,Mizoram,,none,none,0
negative_mizoram_00125,24.10996061136887,92.16737158216678,negative_sample,Mizoram,,none,none,0
negative_mizoram_00126,22.335007541864762,92.48900401593447,negative_sample,Mizoram,,none,none,0
negative_mizoram_00127,23.87702371414371,92.16637402047597,negative_sample,Mizoram,,none,none,0
negative_mizoram_00128,22.96576347005121,93.13768243835658,negative_sample,Mizoram,,none,none,0
negative_mizoram_00129,23.5280674035449,91.8794848002866,negative_sample,Mizoram,,none,none,0
negative_mizoram_00130,22.814965314405086,92.98653598713341,negative_sample,Mizoram,,none,none,0
negative_mizoram_00131,23.626586041081953,92.29873560700732,negative_sample,Mizoram,,none,none,0
negative_mizoram_00132,22.45282820847541,92.54439605524716,negative_sample,Mizoram,,none,none,0
negative_mizoram_00133,23.417684792949984,93.37499894416345,negative_sample,Mizoram,,none,none,0
negative_mizoram_00134,23.11709640721358,92.95651058288877,negative_sample,Mizoram,,none,none,0
negative_mizoram_00135,22.42065551558057,92.44458766604609,negative_sample,Mizoram,,none,none,0
negative_mizoram_00136,23.255885954307903,92.12729283651657,negative_sample,Mizoram,,none,none,0
negative_mizoram_00137,23.61846820317701,93.11448572165418,negative_sample,Mizoram,,none,none,0
negative_mizoram_00138,23.37723749074373,92.26072968035858,negative_sample,Mizoram,,none,none,0
negative_mizoram_00139,24.12741802828648,92.21034002858354,negative_sample,Mizoram,,none,none,0
negative_mizoram_00140,23.940823870070073,92.46829618457058,negative_sample,Mizoram,,none,none,0
negative_mizoram_00141,23.291787047942606,93.12956961397595,negative_sample,Mizoram,,none,none,0
negative_mizoram_00142,23.49432489372097,93.23255575235021,negative_sample,Mizoram,,none,none,0
negative_mizoram_00143,22.88785335715515,93.12645297296847,negative_sample,Mizoram,,none,none,0
negative_mizoram_00144,23.357271160871264,92.49737245041467,negative_sample,Mizoram,,none,none,0
negative_mizoram_00145,23.601847311297266,93.2464910468537,negative_sample,Mizoram,,none,none,0
negative_mizoram_00146,23.522253891232033,92.15499317682742,negative_sample,Mizoram,,none,none,0
negative_mizoram_00147,23.57607996575879,93.36188410162534,negative_sample,Mizoram,,none,none,0
negative_mizoram_00148,23.92312410543266,92.45922731332375,negative_sample,Mizoram,,none,none,0
negative_mizoram_00149,23.822912028927146,93.2214146245859,negative_sample,Mizoram,,none,none,0
negative_mizoram_00150,23.973732720015917,93.32860103325551,negative_sample,Mizoram,,none,none,0
negative_mizoram_00151,22.330696015111748,93.15603523037379,negative_sample,Mizoram,,none,none,0
negative_mizoram_00152,23.855033603697276,92.12043550116371,negative_sample,Mizoram,,none,none,0
negative_mizoram_00153,23.25466136486959,92.99591201082703,negative_sample,Mizoram,,none,none,0
negative_mizoram_00154,23.193834702236387,93.36856806018237,negative_sample,Mizoram,,none,none,0
negative_mizoram_00155,24.023067075984883,92.59876202420979,negative_sample,Mizoram,,none,none,0
negative_mizoram_00156,23.80461516292678,92.81327305086451,negative_sample,Mizoram,,none,none,0
negative_mizoram_00157,24.17902310821693,92.98942812447079,negative_sample,Mizoram,,none,none,0
negative_mizoram_00158,24.160988249377066,92.71767726251983,negative_sample,Mizoram,,none,none,0
negative_mizoram_00159,22.122833931256388,92.81682026187032,negative_sample,Mizoram,,none,none,0
negative_mizoram_00160,22.63463957386707,92.80666319882728,negative_sample,Mizoram,,none,none,0
negative_mizoram_00161,22.906157301587406,93.13093999955076,negative_sample,Mizoram,,none,none,0
negative_mizoram_00162,22.785401381752507,93.13194869377418,negative_sample,Mizoram,,none,none,0
negative_mizoram_00163,23.026472566659674,92.66115602346076,negative_sample,Mizoram,,none,none,0
negative_mizoram_00164,23.81539230319826,92.21655186584165,negative_sample,Mizoram,,none,none,0
negative_mizoram_00165,23.053537199782955,92.13499437308542,negative_sample,Mizoram,,none,none,0
negative_mizoram_00166,23.464184946872663,91.84942914197079,negative_sample,Mizoram,,none,none,0
negative_mizoram_00167,23.774167284896823,93.39011846029764,negative_sample,Mizoram,,none,none,0
negative_mizoram_00168,23.015227968587613,92.6699133673127,negative_sample,Mizoram,,none,none,0
negative_mizoram_00169,23.38050732688458,92.95048383056938,negative_sample,Mizoram,,none,none,0
negative_mizoram_00170,23.35267345600128,93.23168329263193,negative_sample,Mizoram,,none,none,0
negative_mizoram_00171,23.503232193642866,92.93321974402222,negative_sample,Mizoram,,none,none,0
negative_mizoram_00172,22.786482897126472,92.77413390899028,negative_sample,Mizoram,,none,none,0
negative_mizoram_00173,23.43126391025939,92.11151935076305,negative_sample,Mizoram,,none,none,0
negative_mizoram_00174,23.221592979123347,92.38920633196501,negative_sample,Mizoram,,none,none,0
negative_mizoram_00175,23.7095097933684,93.38496655445378,negative_sample,Mizoram,,none,none,0
negative_mizoram_00176,22.30065962699378,92.61077063973156,negative_sample,Mizoram,,none,none,0
negative_mizoram_00177,24.400159593342018,92.77320837277944,negative_sample,Mizoram,,none,none,0
negative_mizoram_00178,23.115112332454707,92.52227937653205,negative_sample,Mizoram,,none,none,0
negative_mizoram_00179,23.3195759910925,92.41915452848966,negative_sample,Mizoram,,none,none,0
negative_mizoram_00180,23.76754672500039,91.71287108470344,negative_sample,Mizoram,,none,none,0
negative_mizoram_00181,23.074859697350107,92.30998361108662,negative_sample,Mizoram,,none,none,0
negative_mizoram_00182,23.254174936007733,92.51410891351658,negative_sample,Mizoram,,none,none,0
negative_mizoram_00183,23.11106446956027,92.20074190067616,negative_sample,Mizoram,,none,none,0
negative_mizoram_00184,24.119361117288793,93.00170778968159,negative_sample,Mizoram,,none,none,0
negative_mizoram_00185,23.23046396535562,92.03855490829247,negative_sample,Mizoram,,none,none,0
negative_mizoram_00186,22.611502073640015,92.82750779954067,negative_sample,Mizoram,,none,none,0
negative_mizoram_00187,23.57556724510561,91.80254789657894,negative_sample,Mizoram,,none,none,0
negative_mizoram_00188,23.450261644059466,92.03704431553027,negative_sample,Mizoram,,none,none,0
negative_mizoram_00189,24.13961091940086,92.66093251952074,negative_sample,Mizoram,,none,none,0
negative_mizoram_00190,24.15450919280484,92.98802608977111,negative_sample,Mizoram,,none,none,0
negative_mizoram_00191,23.534424157659974,92.41797244364018,negative_sample,Mizoram,,none,none,0
negative_mizoram_00192,22.83326182985801,93.06002017627034,negative_sample,Mizoram,,none,none,0
negative_mizoram_00193,23.5278054404021,93.03505826773049,negative_sample,Mizoram,,none,none,0
negative_mizoram_00194,23.79190443978163,92.90255012965739,negative_sample,Mizoram,,none,none,0
negative_mizoram_00195,22.83019680097975,92.9265298053278,negative_sample,Mizoram,,none,none,0
negative_mizoram_00196,22.47544208364751,92.84511536657001,negative_sample,Mizoram,,none,none,0
negative_mizoram_00197,23.369053016253986,93.18034030680457,negative_sample,Mizoram,,none,none,0
negative_mizoram_00198,22.722040491092155,92.71748799008837,negative_sample,Mizoram,,none,none,0
negative_mizoram_00199,23.68250777478447,92.13211821541749,negative_sample,Mizoram,,none,none,0
negative_mizoram_00200,22.674014686142097,93.16872050016798,negative_sample,Mizoram,,none,none,0
negative_mizoram_00201,23.411710466620445,92.69775967688074,negative_sample,Mizoram,,none,none,0
negative_mizoram_00202,23.716947078455494,92.31363634178605,negative_sample,Mizoram,,none,none,0
negative_mizoram_00203,23.315874307638406,92.3549940325514,negative_sample,Mizoram,,none,none,0
negative_mizoram_00204,23.053585118686993,92.53570020160697,negative_sample,Mizoram,,none,none,0
negative_mizoram_00205,23.729150731594682,92.31156135909339,negative_sample,Mizoram,,none,none,0
negative_mizoram_00206,23.205710184910078,91.9842568876741,negative_sample,Mizoram,,none,none,0
negative_mizoram_00207,24.210779705174573,92.9174271995751,negative_sample,Mizoram,,none,none,0
negative_mizoram_00208,23.321867937649596,92.28300399990117,negative_sample,Mizoram,,none,none,0
negative_mizoram_00209,24.0133196921131,93.1538355995815,negative_sample,Mizoram,,none,none,0
negative_mizoram_00210,24.233424877680587,92.89204189030389,negative_sample,Mizoram,,none,none,0
negative_mizoram_00211,22.83506592195518,92.3108859293976,negative_sample,Mizoram,,none,none,0
negative_mizoram_00212,23.530365899434564,92.33685782875018,negative_sample,Mizoram,,none,none,0
negative_mizoram_00213,23.20039503130143,93.27878782101446,negative_sample,Mizoram,,none,none,0
negative_mizoram_00214,23.734022700548447,91.8960569562726,negative_sample,Mizoram,,none,none,0
negative_mizoram_00215,23.33415026136162,91.93703652012846,negative_sample,Mizoram,,none,none,0
negative_mizoram_00216,22.688222006042157,92.44295831450042,negative_sample,Mizoram,,none,none,0
negative_mizoram_00217,23.655197233851553,93.32165815567993,negative_sample,Mizoram,,none,none,0
negative_mizoram_00218,22.322302502112855,92.4914470958407,negative_sample,Mizoram,,none,none,0
negative_mizoram_00219,23.410129704998575,92.14950072506998,negative_sample,Mizoram,,none,none,0
negative_mizoram_00220,23.384216429663425,92.70847422005406,negative_sample,Mizoram,,none,none,0
negative_mizoram_00221,22.96328148723716,92.13440514197991,negative_sample,Mizoram,,none,none,0
negative_mizoram_00222,23.919636830490326,92.32918799792634,negative_sample,Mizoram,,none,none,0
negative_mizoram_00223,22.558761277684518,92.98698005969847,negative_sample,Mizoram,,none,none,0
negative_mizoram_00224,22.653337073637097,92.40974215815599,negative_sample,Mizoram,,none,none,0
negative_mizoram_00225,24.14428323752942,92.87581209077531,negative_sample,Mizoram,,none,none,0
negative_mizoram_00226,22.884732478511943,93.16994953433029,negative_sample,Mizoram,,none,none,0
negative_mizoram_00227,23.323447342367814,92.99593990815951,negative_sample,Mizoram,,none,none,0
negative_mizoram_00228,23.353174338808945,92.48267892013301,negative_sample,Mizoram,,none,none,0
negative_mizoram_00229,23.119025188356318,92.5649438188619,negative_sample,Mizoram,,none,none,0
negative_mizoram_00230,22.560984443244788,92.59689127482731,negative_sample,Mizoram,,none,none,0
negative_mizoram_00231,23.545997861309896,92.18004833211405,negative_sample,Mizoram,,none,none,0
negative_mizoram_00232,23.035110063303385,92.43686809513024,negative_sample,Mizoram,,none,none,0
negative_mizoram_00233,22.51060780375374,92.55656355262215,negative_sample,Mizoram,,none,none,0
negative_mizoram_00234,24.004364295019876,92.21740518919688,negative_sample,Mizoram,,none,none,0
negative_mizoram_00235,23.897062918472358,92.7191288368293,negative_sample,Mizoram,,none,none,0
negative_mizoram_00236,22.571408343258135,93.02507384628295,negative_sample,Mizoram,,none,none,0
negative_mizoram_00237,23.12745442318412,93.25802823314152,negative_sample,Mizoram,,none,none,0
negative_mizoram_00238,23.016601383262774,92.73626565269903,negative_sample,Mizoram,,none,none,0
negative_mizoram_00239,22.83512497673585,93.25457213758143,negative_sample,Mizoram,,none,none,0
negative_mizoram_00240,23.525250577521337,92.78579003291732,negative_sample,Mizoram,,none,none,0
negative_mizoram_00241,22.794101491599303,92.78586953699656,negative_sample,Mizoram,,none,none,0
negative_mizoram_00242,22.95118530184908,93.30054292055416,negative_sample,Mizoram,,none,none,0
negative_mizoram_00243,23.04172490213294,92.92640509485206,negative_sample,Mizoram,,none,none,0
negative_mizoram_00244,24.281432364197393,92.51548141690279,negative_sample,Mizoram,,none,none,0
negative_mizoram_00245,23.64179662343258,92.35504522431175,negative_sample,Mizoram,,none,none,0
negative_mizoram_00246,23.05406540384829,92.21733136661243,negative_sample,Mizoram,,none,none,0
negative_mizoram_00247,23.692025210941026,91.76870804762129,negative_sample,Mizoram,,none,none,0
negative_mizoram_00248,23.680757896956834,92.777854310215,negative_sample,Mizoram,,none,none,0
negative_mizoram_00249,23.964252499458272,91.95859380180617,negative_sample,Mizoram,,none,none,0
negative_mizoram_00250,22.656833727976323,93.14498956806696,negative_sample,Mizoram,,none,none,0
negative_mizoram_00251,22.368232496507357,92.79992656640519,negative_sample,Mizoram,,none,none,0
negative_mizoram_00252,23.709851906479226,92.11200949055129,negative_sample,Mizoram,,none,none,0
negative_mizoram_00253,23.55074878790245,93.31018498479169,negative_sample,Mizoram,,none,none,0
negative_mizoram_00254,23.588676266008285,92.06115099798453,negative_sample,Mizoram,,none,none,0
negative_mizoram_00255,23.736152193072098,92.31991830785209,negative_sample,Mizoram,,none,none,0
negative_mizoram_00256,23.551159513305787,93.17090261923823,negative_sample,Mizoram,,none,none,0
negative_mizoram_00257,22.84265055760443,93.13309371455345,negative_sample,Mizoram,,none,none,0
negative_mizoram_00258,23.254967669987458,92.57922807578184,negative_sample,Mizoram,,none,none,0
negative_mizoram_00259,23.925971626228097,92.9732231657477,negative_sample,Mizoram,,none,none,0
negative_mizoram_00260,23.17287239850511,92.46477921077626,negative_sample,Mizoram,,none,none,0
negative_mizoram_00261,23.636255218123857,92.03451581620462,negative_sample,Mizoram,,none,none,0
negative_mizoram_00262,23.058556675033607,92.65335398272201,negative_sample,Mizoram,,none,none,0
negative_mizoram_00263,22.46254081840734,93.1448813099434,negative_sample,Mizoram,,none,none,0
negative_mizoram_00264,24.11436771093644,93.0320105950017,negative_sample,Mizoram,,none,none,0
negative_mizoram_00265,22.325138213856466,92.7920582541795,negative_sample,Mizoram,,none,none,0
negative_mizoram_00266,22.483836694819868,93.09469081767118,negative_sample,Mizoram,,none,none,0
negative_mizoram_00267,23.408374924255952,92.362552876845,negative_sample,Mizoram,,none,none,0
negative_mizoram_00268,23.73796077241327,92.50086134556177,negative_sample,Mizoram,,none,none,0
negative_mizoram_00269,23.84049451546305,91.774928749733,negative_sample,Mizoram,,none,none,0
negative_mizoram_00270,23.09495123504602,92.43005700893839,negative_sample,Mizoram,,none,none,0
negative_mizoram_00271,23.703770500809675,91.69656617312454,negative_sample,Mizoram,,none,none,0
negative_mizoram_00272,23.987161131593496,92.23697620715696,negative_sample,Mizoram,,none,none,0
negative_mizoram_00273,24.070227735030702,93.09395836514874,negative_sample,Mizoram,,none,none,0
negative_mizoram_00274,22.841002378312613,92.35032880321154,negative_sample,Mizoram,,none,none,0
negative_mizoram_00275,24.0214180072531,92.94485928994166,negative_sample,Mizoram,,none,none,0
negative_mizoram_00276,24.246856308059307,92.48384152844484,negative_sample,Mizoram,,none,none,0
negative_mizoram_00277,22.21609546126104,92.56006091655932,negative_sample,Mizoram,,none,none,0
negative_mizoram_00278,23.955574747978886,92.38550191551995,negative_sample,Mizoram,,none,none,0
negative_mizoram_00279,23.654553711906004,91.66688785993303,negative_sample,Mizoram,,none,none,0
negative_mizoram_00280,22.463282087501565,93.07786204798958,negative_sample,Mizoram,,none,none,0
negative_mizoram_00281,23.3757967450099,93.07785720184188,negative_sample,Mizoram,,none,none,0
negative_mizoram_00282,23.86498198802168,92.31062035858893,negative_sample,Mizoram,,none,none,0
negative_mizoram_00283,23.90072912950654,92.06534841103314,negative_sample,Mizoram,,none,none,0
negative_mizoram_00284,23.895654330352656,92.5069693675712,negative_sample,Mizoram,,none,none,0
negative_mizoram_00285,22.955044676945672,92.43626937739359,negative_sample,Mizoram,,none,none,0
negative_mizoram_00286,22.342519456163544,92.94963843165796,negative_sample,Mizoram,,none,none,0
negative_mizoram_00287,23.657707971206364,91.85012717454457,negative_sample,Mizoram,,none,none,0
negative_mizoram_00288,23.016578714674804,92.40771991952967,negative_sample,Mizoram,,none,none,0
negative_mizoram_00289,22.523059670426427,93.16687770748908,negative_sample,Mizoram,,none,none,0
negative_mizoram_00290,23.663941742573858,91.99974061513029,negative_sample,Mizoram,,none,none,0
negative_mizoram_00291,23.85742382172023,92.12196648444584,negative_sample,Mizoram,,none,none,0
negative_mizoram_00292,23.405235570486393,92.6183776512972,negative_sample,Mizoram,,none,none,0
negative_mizoram_00293,23.797910618486988,93.08756271170745,negative_sample,Mizoram,,none,none,0
negative_mizoram_00294,23.079893974794413,92.07023971829153,negative_sample,Mizoram,,none,none,0
negative_mizoram_00295,24.08346425225851,92.96112883770633,negative_sample,Mizoram,,none,none,0
negative_mizoram_00296,22.998008922908475,92.60907439367774,negative_sample,Mizoram,,none,none,0
negative_mizoram_00297,23.333919438092366,92.08905554733532,negative_sample,Mizoram,,none,none,0
negative_mizoram_00298,23.43767403713617,92.16790663726076,negative_sample,Mizoram,,none,none,0
negative_mizoram_00299,22.21255485886171,92.81568363250166,negative_sample,Mizoram,,none,none,0
negative_mizoram_00300,23.639875277542256,93.20563401999681,negative_sample,Mizoram,,none,none,0
negative_mizoram_00301,23.221185721429507,92.44571353663912,negative_sample,Mizoram,,none,none,0
negative_mizoram_00302,23.490997459880617,91.98968189732344,negative_sample,Mizoram,,none,none,0
